"filename", "language", "JavaScript", "CSS", "comment", "blank", "total"
"c:\Users\soner\Desktop\javaProjexts\soner.tugan\bookportalFrontEndReact\src\App.js", "JavaScript", 47, 0, 59, 17, 123
"c:\Users\soner\Desktop\javaProjexts\soner.tugan\bookportalFrontEndReact\src\Service\AuthService.js", "JavaScript", 24, 0, 2, 7, 33
"c:\Users\soner\Desktop\javaProjexts\soner.tugan\bookportalFrontEndReact\src\Service\AuthorService.js", "JavaScript", 133, 0, 14, 20, 167
"c:\Users\soner\Desktop\javaProjexts\soner.tugan\bookportalFrontEndReact\src\Service\BookService.js", "JavaScript", 154, 0, 15, 19, 188
"c:\Users\soner\Desktop\javaProjexts\soner.tugan\bookportalFrontEndReact\src\Service\LocalStorageService.js", "JavaScript", 21, 0, 5, 7, 33
"c:\Users\soner\Desktop\javaProjexts\soner.tugan\bookportalFrontEndReact\src\Service\UserService.js", "JavaScript", 226, 0, 36, 35, 297
"c:\Users\soner\Desktop\javaProjexts\soner.tugan\bookportalFrontEndReact\src\components\HeaderAdmin.css", "CSS", 0, 36, 0, 9, 45
"c:\Users\soner\Desktop\javaProjexts\soner.tugan\bookportalFrontEndReact\src\components\HeaderAdmin.js", "JavaScript", 37, 0, 1, 14, 52
"c:\Users\soner\Desktop\javaProjexts\soner.tugan\bookportalFrontEndReact\src\components\HeaderItem.js", "JavaScript", 20, 0, 0, 5, 25
"c:\Users\soner\Desktop\javaProjexts\soner.tugan\bookportalFrontEndReact\src\components\HeaderUser.js", "JavaScript", 34, 0, 1, 14, 49
"c:\Users\soner\Desktop\javaProjexts\soner.tugan\bookportalFrontEndReact\src\config\AxiosConfig.js", "JavaScript", 22, 0, 3, 4, 29
"c:\Users\soner\Desktop\javaProjexts\soner.tugan\bookportalFrontEndReact\src\index.js", "JavaScript", 7, 0, 0, 5, 12
"c:\Users\soner\Desktop\javaProjexts\soner.tugan\bookportalFrontEndReact\src\pages\Home.js", "JavaScript", 24, 0, 0, 11, 35
"c:\Users\soner\Desktop\javaProjexts\soner.tugan\bookportalFrontEndReact\src\pages\Login.js", "JavaScript", 55, 0, 3, 11, 69
"c:\Users\soner\Desktop\javaProjexts\soner.tugan\bookportalFrontEndReact\src\pages\Signin.js", "JavaScript", 77, 0, 3, 22, 102
"c:\Users\soner\Desktop\javaProjexts\soner.tugan\bookportalFrontEndReact\src\pages\admin\AdminApp.js", "JavaScript", 29, 0, 0, 12, 41
