"filename", "language", "JavaScript", "CSS", "comment", "blank", "total"
"c:\Users\soner\Desktop\javaProjexts\soner.tugan\bookportalFrontEndReact\src\pages\admin\add-author\AddAuthor.js", "JavaScript", 21, 0, 2, 7, 30
"c:\Users\soner\Desktop\javaProjexts\soner.tugan\bookportalFrontEndReact\src\pages\admin\add-author\AddAuthorCard.js", "JavaScript", 36, 0, 1, 12, 49
"c:\Users\soner\Desktop\javaProjexts\soner.tugan\bookportalFrontEndReact\src\pages\admin\add-book\AddBook.js", "JavaScript", 27, 0, 0, 7, 34
"c:\Users\soner\Desktop\javaProjexts\soner.tugan\bookportalFrontEndReact\src\pages\admin\add-book\AddBookCard.js", "JavaScript", 53, 0, 3, 16, 72
"c:\Users\soner\Desktop\javaProjexts\soner.tugan\bookportalFrontEndReact\src\pages\admin\add-user\AddUser.js", "JavaScript", 19, 0, 0, 7, 26
"c:\Users\soner\Desktop\javaProjexts\soner.tugan\bookportalFrontEndReact\src\pages\admin\add-user\AddUserCard.js", "JavaScript", 51, 0, 1, 16, 68
"c:\Users\soner\Desktop\javaProjexts\soner.tugan\bookportalFrontEndReact\src\pages\admin\author-management\Author.js", "JavaScript", 68, 0, 14, 26, 108
"c:\Users\soner\Desktop\javaProjexts\soner.tugan\bookportalFrontEndReact\src\pages\admin\author-management\AuthorFilter.js", "JavaScript", 24, 0, 0, 10, 34
"c:\Users\soner\Desktop\javaProjexts\soner.tugan\bookportalFrontEndReact\src\pages\admin\author-management\AuthorList.js", "JavaScript", 16, 0, 0, 8, 24
"c:\Users\soner\Desktop\javaProjexts\soner.tugan\bookportalFrontEndReact\src\pages\admin\author-management\AuthorManagement.js", "JavaScript", 142, 0, 9, 39, 190
"c:\Users\soner\Desktop\javaProjexts\soner.tugan\bookportalFrontEndReact\src\pages\admin\book-management\AddBook.js", "JavaScript", 37, 0, 1, 12, 50
"c:\Users\soner\Desktop\javaProjexts\soner.tugan\bookportalFrontEndReact\src\pages\admin\book-management\Book.js", "JavaScript", 95, 0, 17, 26, 138
"c:\Users\soner\Desktop\javaProjexts\soner.tugan\bookportalFrontEndReact\src\pages\admin\book-management\BookFilter.js", "JavaScript", 24, 0, 0, 12, 36
"c:\Users\soner\Desktop\javaProjexts\soner.tugan\bookportalFrontEndReact\src\pages\admin\book-management\BookList.js", "JavaScript", 16, 0, 1, 9, 26
"c:\Users\soner\Desktop\javaProjexts\soner.tugan\bookportalFrontEndReact\src\pages\admin\book-management\BookManagement.js", "JavaScript", 163, 0, 17, 36, 216
"c:\Users\soner\Desktop\javaProjexts\soner.tugan\bookportalFrontEndReact\src\pages\admin\user-management\User.js", "JavaScript", 52, 0, 14, 25, 91
"c:\Users\soner\Desktop\javaProjexts\soner.tugan\bookportalFrontEndReact\src\pages\admin\user-management\UserFilter.js", "JavaScript", 24, 0, 0, 9, 33
"c:\Users\soner\Desktop\javaProjexts\soner.tugan\bookportalFrontEndReact\src\pages\admin\user-management\UserList.js", "JavaScript", 16, 0, 1, 7, 24
"c:\Users\soner\Desktop\javaProjexts\soner.tugan\bookportalFrontEndReact\src\pages\admin\user-management\UserManagement.js", "JavaScript", 156, 0, 6, 47, 209
"c:\Users\soner\Desktop\javaProjexts\soner.tugan\bookportalFrontEndReact\src\pages\user\BookItem.js", "JavaScript", 45, 0, 2, 12, 59
"c:\Users\soner\Desktop\javaProjexts\soner.tugan\bookportalFrontEndReact\src\pages\user\BookManagament\Book.js", "JavaScript", 49, 0, 12, 26, 87
"c:\Users\soner\Desktop\javaProjexts\soner.tugan\bookportalFrontEndReact\src\pages\user\BookManagament\BookFilter.js", "JavaScript", 27, 0, 0, 9, 36
"c:\Users\soner\Desktop\javaProjexts\soner.tugan\bookportalFrontEndReact\src\pages\user\BookManagament\BookList.js", "JavaScript", 16, 0, 0, 8, 24
"c:\Users\soner\Desktop\javaProjexts\soner.tugan\bookportalFrontEndReact\src\pages\user\BookManagament\BookManagement.js", "JavaScript", 121, 0, 13, 33, 167
"c:\Users\soner\Desktop\javaProjexts\soner.tugan\bookportalFrontEndReact\src\pages\user\UserApp.js", "JavaScript", 23, 0, 0, 10, 33
"c:\Users\soner\Desktop\javaProjexts\soner.tugan\bookportalFrontEndReact\src\pages\user\favorite-list\FavoriteList.js", "JavaScript", 53, 0, 4, 16, 73
"c:\Users\soner\Desktop\javaProjexts\soner.tugan\bookportalFrontEndReact\src\pages\user\reading-list\ReadingList.js", "JavaScript", 53, 0, 3, 20, 76
"Total", "-", 2337, 36, 263, 677, 3313
