"filename", "language", "Java", "comment", "blank", "total"
"c:\Users\soner\Desktop\javaProjexts\soner.tugan\bookportal\src\main\java\tr\com\obss\bookportal\repository\BookRepository.java", "Java", 14, 0, 7, 21
"c:\Users\soner\Desktop\javaProjexts\soner.tugan\bookportal\src\main\java\tr\com\obss\bookportal\repository\RoleRepository.java", "Java", 6, 0, 5, 11
"c:\Users\soner\Desktop\javaProjexts\soner.tugan\bookportal\src\main\java\tr\com\obss\bookportal\repository\UserRepository.java", "Java", 13, 0, 12, 25
"c:\Users\soner\Desktop\javaProjexts\soner.tugan\bookportal\src\main\java\tr\com\obss\bookportal\security\BookPortalUserDetails.java", "Java", 56, 9, 22, 87
"c:\Users\soner\Desktop\javaProjexts\soner.tugan\bookportal\src\main\java\tr\com\obss\bookportal\security\SecurityConfig.java", "Java", 42, 52, 10, 104
"c:\Users\soner\Desktop\javaProjexts\soner.tugan\bookportal\src\main\java\tr\com\obss\bookportal\service\AuthorService.java", "Java", 15, 0, 15, 30
"c:\Users\soner\Desktop\javaProjexts\soner.tugan\bookportal\src\main\java\tr\com\obss\bookportal\service\BookService.java", "Java", 12, 0, 12, 24
"c:\Users\soner\Desktop\javaProjexts\soner.tugan\bookportal\src\main\java\tr\com\obss\bookportal\service\RoleService.java", "Java", 9, 0, 7, 16
"c:\Users\soner\Desktop\javaProjexts\soner.tugan\bookportal\src\main\java\tr\com\obss\bookportal\service\UserService.java", "Java", 22, 0, 19, 41
"c:\Users\soner\Desktop\javaProjexts\soner.tugan\bookportal\src\main\java\tr\com\obss\bookportal\service\imp\AuthorServiceImpl.java", "Java", 52, 3, 42, 97
"c:\Users\soner\Desktop\javaProjexts\soner.tugan\bookportal\src\main\java\tr\com\obss\bookportal\service\imp\BookServiceImpl.java", "Java", 53, 3, 38, 94
"c:\Users\soner\Desktop\javaProjexts\soner.tugan\bookportal\src\main\java\tr\com\obss\bookportal\service\imp\RoleServiceImpl.java", "Java", 30, 3, 19, 52
"c:\Users\soner\Desktop\javaProjexts\soner.tugan\bookportal\src\main\java\tr\com\obss\bookportal\service\imp\UserServiceImpl.java", "Java", 132, 3, 74, 209
"Total", "-", 1420, 91, 734, 2245
